,id,Kubikaža,Broj vrata,Gorivo,Kilovata (KW),Lokacija,Proizvođač,Kilometraža,Model,Cijena,Naslov,Godište
0,53790160,1.9,4/5,Dizel,88.0,Banja Luka,Alfa Romeo,299500.0,Alfa 147,7500.0,Alfa Romeo Alfa 147,2005.0
1,52440211,2.0,4/5,Benzin,206.0,Laktaši,Alfa Romeo,1.0,Stelvio,131500.0,NARUDŽBA ALFA ROMEO STELVIO 2.0TB 280KS AT Q4,2023.0
2,49131197,1.5,4/5,Hibrid,96.0,Laktaši,Alfa Romeo,5.0,Tonale,85990.0,Alfa Romeo Tonale,2022.0
3,53468631,1.9,4/5,Dizel,85.0,Vogošća,Alfa Romeo,300000.0,Alfa 156,1999.0,Alfa Romeo Alfa 156 1.9 JTD 85kw Klima,2001.0
4,53608637,1.9,2/3,Dizel,85.0,Visoko,Alfa Romeo,289121.0,Alfa 147,3900.0,Alfa Romeo Alfa 147 2003 god. 1.9 JTD Reg. Do 3.2024,2003.0
5,53786254,1.6,4/5,Dizel,77.0,Banja Luka,Alfa Romeo,155000.0,Giulietta,12600.0,Alfa Romeo Giulietta 1.6 JTDM 105KS 2011G REG 06/24,2011.0
6,53754160,2.0,2/3,Benzin,122.0,Ilidža,Alfa Romeo,134800.0,GT,7200.0,Alfa Romeo GT 2005 2.0 AUTOMATIK,2005.0
7,53772352,1.4,2/3,Benzin,77.0,Banja Luka,Alfa Romeo,162000.0,MiTo,9400.0,ALFA ROMEO MITO/ UVOZ SVICA / SERVISNA KNJIGA,2012.0
8,53764014,1.9,4/5,Dizel,85.0,Sarajevo - Stari Grad,Alfa Romeo,2400.0,Alfa 147,,Alfa Romeo,2004.0
9,52669661,1.5,4/5,Hibrid,96.0,Sarajevo - Centar,Alfa Romeo,16.0,Tonale,79990.0,"ALFA ROMEO TONALE 1.5 HYBRID GRATIS REG.GUME,3 SERVISA",2022.0
10,48327391,1.6,4/5,Dizel,88.0,Ljubuški,Alfa Romeo,124498.0,Giulietta,27990.0,Alfa Romeo Giulietta 1.6 JTDM Super Xenon LED 120 KS,2017.0
11,51639880,1.6,4/5,Plin,88.0,Sarajevo - Novi Grad,Alfa Romeo,240000.0,Alfa 147,4900.0,Alfa Romeo 147 1.6 16v 2006 Facelift 5 vrata,2006.0
12,53643647,1.9,4/5,Dizel,85.0,Visoko,Alfa Romeo,322121.0,Alfa 147,3800.0,Alfa Romeo Alfa 147,2001.0
13,53786307,1.9,4/5,Dizel,103.0,Zenica,Alfa Romeo,295000.0,Alfa 156,4999.0,Alfa Romeo Alfa 156 Facelift,2004.0
14,50663209,1.9,4/5,Dizel,88.0,Usora,Alfa Romeo,243000.0,Alfa 147,4900.0,Alfa 147,2006.0
15,51789959,1.4,2/3,Benzin,57.0,Sarajevo - Centar,Alfa Romeo,62000.0,MiTo,23990.0,Alfa Romeo MiTo prvi vlasnik,2018.0
16,53456018,1.3,2/3,Dizel,65.0,Kiseljak,Alfa Romeo,100000.0,MiTo,10600.0,Alfa Romeo MiTo 2012,2012.0
17,50454058,1.9,4/5,Dizel,110.0,Livno,Alfa Romeo,206500.0,Alfa 159,7800.0,Alfa romeo 159,2008.0
18,52369862,1.9,4/5,Benzin,116.0,Zenica,Alfa Romeo,171500.0,Alfa 159,8800.0,Alfa Romeo 159,2006.0
19,52868329,1.3,2/3,Dizel,62.0,Bileća,Alfa Romeo,170462.0,MiTo,10200.0,Alfa Romeo MiTo 1.3 JTD,2011.0
20,49491769,1.5,4/5,Hibrid,96.0,Sarajevo - Novi Grad,Alfa Romeo,1.0,Tonale,84990.0,ALFA ROMEO TONALE EDIZIONE SPECIALE 1.5 MHEV MY22,2022.0
21,53247447,2.2,4/5,Dizel,154.0,Sarajevo - Novi Grad,Alfa Romeo,1.0,Stelvio,135380.0,ALFA ROMEO STELVIO 2.2 MJTD 210KS AT8 Q4 VELOCE,2023.0
22,53247393,2.2,4/5,Dizel,154.0,Sarajevo - Novi Grad,Alfa Romeo,1.0,Stelvio,135380.0,ALFA ROMEO STELVIO 2.2 MJTD 210KS AT8 Q4 VELOCE,2023.0
23,53787439,1.9,4/5,Dizel,88.0,Prnjavor,Alfa Romeo,256000.0,Alfa 159,6500.0,Alfa Romeo Alfa 159,2009.0
24,53785532,2.0,4/5,Plin,110.0,Banja Luka,Alfa Romeo,280000.0,Alfa 147,5500.0,Alfa Romeo Alfa 147,2001.0
25,53785082,1.9,4/5,Dizel,85.0,Banja Luka,Alfa Romeo,287000.0,Alfa 156,4800.0,Alfa Romeo 156 Facelift JTD,2005.0
26,53247266,2.2,4/5,Dizel,154.0,Sarajevo - Novi Grad,Alfa Romeo,1.0,Stelvio,135380.0,ALFA ROMEO STELVIO 2.2 MJTD 210KS AT8 Q4 VELOCE,2023.0
27,51839812,2.2,4/5,Dizel,154.0,Sarajevo - Novi Grad,Alfa Romeo,73835.0,Stelvio,72990.0,ALFA ROMEO STELVIO Q4 8A/T 2.2 MJTD 154kw,2019.0
28,52586919,2.0,4/5,Dizel,103.0,Sarajevo - Novi Grad,Alfa Romeo,206000.0,Giulietta,14500.0,ALFA ROMEO GIULIETTA DISTINCTIVE 2.0 MJTD 2012,2012.0
29,53773732,1.9,4/5,Dizel,110.0,Velika Kladuša,Alfa Romeo,238000.0,Alfa 159,8888.0,Alfa Romeo Alfa 159,2007.0
30,53770181,2.2,4/5,Dizel,132.0,Sarajevo - Novo Sarajevo,Alfa Romeo,168000.0,Giulia,39500.0,Alfa Romeo Giulia u dolasku,2016.0
31,53768176,1.9,4/5,Dizel,125.0,Vogošća,Alfa Romeo,182000.0,Alfa 147,9000.0,Alfa Romeo Alfa 147,2007.0
32,48642351,1.3,4/5,Dizel,77.0,Novi Grad,Alfa Romeo,160132.0,MiTo,8700.0,Alfa Romeo MiTo 1.3jtd 2010god**UVOZ**,2010.0
